---
doc_id: "CATALOG_002"
type: "catalog"
category: "emergency_contacts"
building_id: "all_buildings"
effective_date: "2024-01-01"
last_updated: "2024-11-10"
version: "1.0"
priority: "medium"
keywords: ["emergency contacts", "catalog", "directory"]
---

Contact Type,Name,Phone,Email,Available,Response Time,Notes
Police Non-Emergency,City Police Dept,(555) 911-0000,dispatch@citypd.gov,24/7,Immediate,Non-emergency line
Fire Department,City Fire Dept,(555) 911-0001,fire@cityfd.gov,24/7,Immediate,Fire and medical emergencies
Hospital,City General Hospital,(555) 234-5000,info@cityhospital.org,24/7,Emergency,Closest hospital - 2 miles
Poison Control,Poison Control Center,(800) 222-1222,N/A,24/7,Immediate,National poison control
Animal Control,City Animal Services,(555) 345-6000,animals@city.gov,M-F 8-5,2-4 hours,Stray animals and wildlife
Mental Health Crisis,Crisis Hotline,(988),crisis@help.org,24/7,Immediate,Suicide and crisis support
Domestic Violence,Safe Haven Shelter,(800) 799-7233,help@safehaven.org,24/7,Immediate,Confidential support
Child Protective Services,CPS Hotline,(800) 252-5400,report@cps.state.gov,24/7,Immediate,Child abuse reporting
Adult Protective Services,APS Services,(555) 456-7000,aps@state.gov,M-F 8-5,24 hours,Elder/disabled abuse
Utility Emergency - Electric,Power Company,(800) 555-1000,outage@power.com,24/7,Immediate,Power outages
Utility Emergency - Gas,Gas Company,(800) 555-2000,gas@gasutility.com,24/7,Immediate,Gas leaks
Utility Emergency - Water,Water District,(555) 567-8000,emergency@waterdistrict.gov,24/7,2 hours,Water main breaks
Hazmat Response,Fire Dept Hazmat,(555) 911-0002,hazmat@cityfd.gov,24/7,30 min,Chemical spills
Flood Emergency,Public Works,(555) 678-9000,dpw@city.gov,24/7,1 hour,Flooding and drainage
Weather Emergency,Emergency Management,(555) 789-0000,oem@city.gov,24/7,Immediate,Severe weather coordination
