---
doc_id: "COST_002"
type: "cost"
category: "labor_rates"
building_id: "building_a"
effective_date: "2024-01-01"
last_updated: "2025-11-13"
version: "1.0"
keywords: ["labor", "hourly rate", "billing", "building_a", "premium"]
author: "Property Management"
approver: "Finance Director"
---
Trade,Skill_Level,Hourly_Rate_USD,Minimum_Billable_Hours,Billing_Increment_Minutes,After_Hours_Multiplier,Weekend_Multiplier,Holiday_Multiplier,On_Call_Fee_USD,Travel_Fee_USD,Travel_Per_Mile_USD,Diagnostic_Fee_USD,Waiting_Time_Rate_USD,Building_Premium_Pct,Notes
Plumber,Master,130.00,1.0,30,1.5,1.5,2.0,75.00,20.00,2.00,100.00,130.00,8.3,High-rise premium
HVAC,Certified,135.00,1.0,30,1.5,1.5,2.0,75.00,20.00,2.00,110.00,135.00,8.0,Complex HVAC system
Electrician,Master,145.00,1.0,30,1.5,1.5,2.0,75.00,20.00,2.00,120.00,145.00,7.4,Building proximity discount
Locksmith,Security_Specialist,115.00,1.0,30,2.0,2.0,2.5,60.00,15.00,1.50,90.00,115.00,4.5,Preferred vendor rate
